seed,disjoint_training_windows,n_samples,n_windows,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),drifts
1734522043,True,50,25,0.0,0.0,0.5011119150988905,0.382040520984081,0.671011818620357,0.5875180897250362,0.0669601464993663,0.08147816845807,0.2050061186107008,0.1606595399978872,[]
1734522246,True,50,50,0.0,0.0,0.5011119150988905,0.382040520984081,0.671011818620357,0.5875180897250362,0.0669601464993663,0.08147816845807,0.2050061186107008,0.1606595399978872,[]
1734522449,True,50,100,0.0,0.0,0.5011119150988905,0.382040520984081,0.671011818620357,0.5875180897250362,0.0669601464993663,0.08147816845807,0.2050061186107008,0.1606595399978872,[]
1734522650,True,100,25,0.0,0.0,0.5011119150988905,0.382040520984081,0.671011818620357,0.5875180897250362,0.0669601464993663,0.08147816845807,0.2050061186107008,0.1606595399978872,[]
1734522865,True,100,50,0.0,0.0,0.5011119150988905,0.382040520984081,0.671011818620357,0.5875180897250362,0.0669601464993663,0.08147816845807,0.2050061186107008,0.1606595399978872,[]
1734523081,True,100,100,0.0,0.0,0.5011119150988905,0.382040520984081,0.671011818620357,0.5875180897250362,0.0669601464993663,0.08147816845807,0.2050061186107008,0.1606595399978872,[]
1734523295,True,250,25,0.0,0.0,0.5011119150988905,0.382040520984081,0.671011818620357,0.5875180897250362,0.0669601464993663,0.08147816845807,0.2050061186107008,0.1606595399978872,[]
1734523546,True,250,50,0.0,0.0,0.5011119150988905,0.382040520984081,0.671011818620357,0.5875180897250362,0.0669601464993663,0.08147816845807,0.2050061186107008,0.1606595399978872,[]
1734523796,True,250,100,0.0,0.0,0.5011119150988905,0.382040520984081,0.671011818620357,0.5875180897250362,0.0669601464993663,0.08147816845807,0.2050061186107008,0.1606595399978872,[]
1734524044,True,500,25,0.0,0.0,0.5011119150988905,0.382040520984081,0.671011818620357,0.5875180897250362,0.0669601464993663,0.08147816845807,0.2050061186107008,0.1606595399978872,[]
1734524353,True,500,50,0.0,0.0,0.5011119150988905,0.382040520984081,0.671011818620357,0.5875180897250362,0.0669601464993663,0.08147816845807,0.2050061186107008,0.1606595399978872,[]
1734524660,True,500,100,0.0,0.0,0.5011119150988905,0.382040520984081,0.671011818620357,0.5875180897250362,0.0669601464993663,0.08147816845807,0.2050061186107008,0.1606595399978872,[]
