disjoint_training_windows,n_samples,n_windows,lpd (ht) (mean),lpd (nb) (mean),acc (ht-no dd) (mean),acc (nb-no dd) (mean),acc (ht-dd) (mean),acc (nb-dd) (mean),f1 (ht-no dd) (mean),f1 (nb-no dd) (mean),f1 (ht-dd) (mean),f1 (nb-dd) (mean),drifts (mean),lpd (ht) (std),lpd (nb) (std),acc (ht-no dd) (std),acc (nb-no dd) (std),acc (ht-dd) (std),acc (nb-dd) (std),f1 (ht-no dd) (std),f1 (nb-no dd) (std),f1 (ht-dd) (std),f1 (nb-dd) (std),drifts (std),count
False,100,50,0.0009501083558568,0.0008634173193766,0.6963430513561828,0.7032287965394717,0.8284081128202865,0.8232438039328198,0.6326115658062732,0.6675166905378538,0.8240988921487449,0.8186154107049706,139.0,,,,,,,,,,,,1
False,100,100,0.0009771153599363,0.0008878557001529,0.6963430513561828,0.7032287965394717,0.8282536249475845,0.8230893160601178,0.6326115658062732,0.6675166905378538,0.8239666663018965,0.8185105647002332,135.0,,,,,,,,,,,,1
False,100,250,0.0010245938764169,0.0009183628765312,0.6963430513561828,0.7032287965394717,0.8336386307960539,0.8262894219946592,0.6326115658062732,0.6675166905378538,0.8287350640762345,0.8208006458255571,134.0,,,,,,,,,,,,1
False,250,50,0.0010463341740679,0.0009407619710807,0.6963430513561828,0.7032287965394717,0.8365518306812915,0.8292909006642979,0.6326115658062732,0.6675166905378538,0.8316038091627463,0.8238152317869154,134.0,,,,,,,,,,,,1
False,250,100,0.0009577259912175,0.0008330486781734,0.6963430513561828,0.7032287965394717,0.8246783341793383,0.8148573194147116,0.6326115658062732,0.6675166905378538,0.8194074100207849,0.8090377176129919,134.0,,,,,,,,,,,,1
False,250,250,0.0007409867427203,0.0006639410371726,0.6963430513561828,0.7032287965394717,0.8200878373904791,0.814106949747302,0.6326115658062732,0.6675166905378538,0.8141803955664961,0.8082454596165267,167.0,,,,,,,,,,,,1
False,500,50,0.001406261197581,0.0012024264762952,0.6963430513561828,0.7032287965394717,0.8215002979408974,0.8102447529297522,0.6326115658062732,0.6675166905378538,0.8150324058357081,0.8037758881572303,89.0,,,,,,,,,,,,1
False,500,100,0.0014322984794971,0.0012594605223971,0.6963430513561828,0.7032287965394717,0.8238176160314272,0.8153207830328176,0.6326115658062732,0.6675166905378538,0.8180989930678165,0.8094138334400011,89.0,,,,,,,,,,,,1
False,500,250,0.0013834475791403,0.0011823405731028,0.6963430513561828,0.7032287965394717,0.8194698858996712,0.808457107545629,0.6326115658062732,0.6675166905378538,0.8137075904837405,0.8024582879901632,89.0,,,,,,,,,,,,1
False,1000,50,0.0027124707445159,0.0020346157928643,0.6963430513561828,0.7032287965394717,0.8102668226258525,0.788682659839774,0.6326115658062732,0.6675166905378538,0.8020789785874599,0.7797807169384683,42.0,,,,,,,,,,,,1
False,1000,100,0.002538516635535,0.0019862726490256,0.6963430513561828,0.7032287965394717,0.8080377833197236,0.790624793096599,0.6326115658062732,0.6675166905378538,0.7992909655504399,0.7819212695887566,44.0,,,,,,,,,,,,1
False,1000,250,0.0059980529623662,0.0034882380780727,0.6963430513561828,0.7032287965394717,0.8043080046787756,0.7660170819447816,0.6326115658062732,0.6675166905378538,0.7962702995148863,0.7521354767427774,18.0,,,,,,,,,,,,1
