n_clusters,n_samples,threshold,lpd (ht) (mean),lpd (nb) (mean),acc (ht-no dd) (mean),acc (nb-no dd) (mean),acc (ht-dd) (mean),acc (nb-dd) (mean),f1 (ht-no dd) (mean),f1 (nb-no dd) (mean),f1 (ht-dd) (mean),f1 (nb-dd) (mean),drifts (mean),lpd (ht) (std),lpd (nb) (std),acc (ht-no dd) (std),acc (nb-no dd) (std),acc (ht-dd) (std),acc (nb-dd) (std),f1 (ht-no dd) (std),f1 (nb-no dd) (std),f1 (ht-dd) (std),f1 (nb-dd) (std),drifts (std),count
2,100,0.005,0.000395023653826,0.0002903185889564,0.6654367221059588,0.6656570106839961,0.6974336380658663,0.6891728163894703,0.6419238618598095,0.6422675803806399,0.5949974086505683,0.6671164630841776,81.0,,,,,,,,,,,,1
2,100,0.05,0.0003662062258824,0.0004353994330864,0.6654367221059588,0.6656570106839961,0.7082828505341998,0.7165987443551052,0.6419238618598095,0.6422675803806399,0.621023575986116,0.6788413680365465,117.0,,,,,,,,,,,,1
2,250,0.005,0.0549069280757792,0.0239013107170392,0.6654367221059588,0.6656570106839961,0.7203436501817381,0.6895583214010353,0.6419238618598095,0.6422675803806399,0.6259409900314025,0.6614391737733776,1.0,,,,,,,,,,,,1
2,250,0.05,0.0232955171274369,0.0108216763960788,0.6654367221059588,0.6656570106839961,0.7120277563608327,0.6873003634761538,0.6419238618598095,0.6422675803806399,0.64367184449474,0.6689779183388022,2.0,,,,,,,,,,,,1
2,500,0.005,0.0549069280757792,0.0239013107170392,0.6654367221059588,0.6656570106839961,0.7203436501817381,0.6895583214010353,0.6419238618598095,0.6422675803806399,0.6259409900314025,0.6614391737733776,1.0,,,,,,,,,,,,1
2,500,0.05,0.0238187025002753,0.0084535741821786,0.6654367221059588,0.6656570106839961,0.7130741271065095,0.6825641590483533,0.6419238618598095,0.6422675803806399,0.6487593468456294,0.6656505594914657,2.0,,,,,,,,,,,,1
2,1000,0.005,0.0549069280757792,0.0239013107170392,0.6654367221059588,0.6656570106839961,0.7203436501817381,0.6895583214010353,0.6419238618598095,0.6422675803806399,0.6259409900314025,0.6614391737733776,1.0,,,,,,,,,,,,1
2,1000,0.05,0.0209549509857913,0.0099955942284392,0.6654367221059588,0.6656570106839961,0.7073466240775416,0.6856481991408745,0.6419238618598095,0.6422675803806399,0.6486826653813378,0.667283670091863,2.0,,,,,,,,,,,,1
3,100,0.005,0.0004008415581373,0.0002760578382998,0.6654367221059588,0.6656570106839961,0.6971032051988104,0.6874655799096817,0.6419238618598095,0.6422675803806399,0.5936497236123164,0.6659228364038898,79.0,,,,,,,,,,,,1
3,100,0.05,0.0003487902485589,0.0004237082109094,0.6654367221059588,0.6656570106839961,0.7041524396960017,0.7126886220949443,0.6419238618598095,0.6422675803806399,0.6125783771490739,0.6777754675961999,111.0,,,,,,,,,,,,1
3,250,0.005,0.0549069280757792,0.0239013107170392,0.6654367221059588,0.6656570106839961,0.7203436501817381,0.6895583214010353,0.6419238618598095,0.6422675803806399,0.6259409900314025,0.6614391737733776,1.0,,,,,,,,,,,,1
3,250,0.05,0.023047692477145,0.0106564599625509,0.6654367221059588,0.6656570106839961,0.7115321070602489,0.686969930609098,0.6419238618598095,0.6422675803806399,0.642951942915319,0.6687551286593851,2.0,,,,,,,,,,,,1
3,500,0.005,0.0549069280757792,0.0239013107170392,0.6654367221059588,0.6656570106839961,0.7203436501817381,0.6895583214010353,0.6419238618598095,0.6422675803806399,0.6259409900314025,0.6614391737733776,1.0,,,,,,,,,,,,1
3,500,0.05,0.0234882696332194,0.0083985020376693,0.6654367221059588,0.6656570106839961,0.7124132613723978,0.6824540147593348,0.6419238618598095,0.6422675803806399,0.6468050591066254,0.6655519957435585,2.0,,,,,,,,,,,,1
3,1000,0.005,0.0549069280757792,0.0239013107170392,0.6654367221059588,0.6656570106839961,0.7203436501817381,0.6895583214010353,0.6419238618598095,0.6422675803806399,0.6259409900314025,0.6614391737733776,1.0,,,,,,,,,,,,1
3,1000,0.05,0.0221665381649961,0.0112897896244079,0.6654367221059588,0.6656570106839961,0.7097697984359511,0.688236589932812,0.6419238618598095,0.6422675803806399,0.6482065310904801,0.6690970731527124,2.0,,,,,,,,,,,,1
