disjoint_training_windows,n_samples,n_windows,lpd (ht) (mean),lpd (nb) (mean),acc (ht-no dd) (mean),acc (nb-no dd) (mean),acc (ht-dd) (mean),acc (nb-dd) (mean),f1 (ht-no dd) (mean),f1 (nb-no dd) (mean),f1 (ht-dd) (mean),f1 (nb-dd) (mean),mtr (mean),mtfa (mean),mtd (mean),mdr (mean),drifts (mean),lpd (ht) (std),lpd (nb) (std),acc (ht-no dd) (std),acc (nb-no dd) (std),acc (ht-dd) (std),acc (nb-dd) (std),f1 (ht-no dd) (std),f1 (nb-no dd) (std),f1 (ht-dd) (std),f1 (nb-dd) (std),mtr (std),mtfa (std),mtd (std),mdr (std),drifts (std),count
False,100,50,0.0012774620442773,0.001303961484572,0.3604390073942162,0.3604712683726272,0.8139380331126682,0.8233775953957132,0.3558536212730926,0.3558927203261205,0.8134667415243001,0.8231580905383473,1.9141789728895744,460.7230769230769,240.68965517241372,0.0,355.0,,,,,,,,,,,,,,,,1
False,100,100,0.003524383871641,0.0031377130018297,0.3604390073942162,0.3604712683726272,0.8045113752209877,0.7558231066031771,0.3558536212730926,0.3558927203261205,0.8041609313232622,0.7555868793555337,136.26681141439207,1388.9326923076924,7.380952380952381,0.2758620689655172,126.0,,,,,,,,,,,,,,,,1
False,100,250,0.0208235817194045,0.0178303494861119,0.3604390073942162,0.3604712683726272,0.8185578052211168,0.7527389570670899,0.3558536212730926,0.3558927203261205,0.8181778899453711,0.7526490569060558,,,10.238095238095235,0.2758620689655172,22.0,,,,,,,,,,,,,,,,1
False,250,50,0.0011362926505382,0.0011677832175244,0.3604390073942162,0.3604712683726272,0.8172286529105854,0.8299201218174544,0.3558536212730926,0.3558927203261205,0.8169449085250847,0.8298164936508217,3.4691880891375013,411.15860215053766,118.51724137931036,0.0,402.0,,,,,,,,,,,,,,,,1
False,250,100,0.0014512203113109,0.0014899544340913,0.3604390073942162,0.3604712683726272,0.8074148632779735,0.819377234072755,0.3558536212730926,0.3558927203261205,0.8068738435999819,0.8191784352691686,1.8730227281790564,547.6330935251799,292.3793103448276,0.0,308.0,,,,,,,,,,,,,,,,1
False,250,250,0.0019920597944997,0.0019542087672434,0.3604390073942162,0.3604712683726272,0.8225968797181681,0.8138477023731175,0.3558536212730926,0.3558927203261205,0.8223171353046258,0.8134849367083646,5.547485620091823,694.9038461538462,99.34782608695652,0.2068965517241379,232.0,,,,,,,,,,,,,,,,1
False,500,50,0.0018507572517171,0.0018760152372535,0.3604390073942162,0.3604712683726272,0.8157252913166351,0.8219710167369956,0.3558536212730926,0.3558927203261205,0.815540972045404,0.8218409994448591,5.1022831269619005,712.0324074074074,139.55172413793105,0.0,246.0,,,,,,,,,,,,,,,,1
False,500,100,0.0021579522082793,0.0021980787204742,0.3604390073942162,0.3604712683726272,0.8136089711328766,0.8220677996722284,0.3558536212730926,0.3558927203261205,0.8135011482017913,0.8220487105305482,6.612652014000118,854.1722222222222,129.17241379310346,0.0,210.0,,,,,,,,,,,,,,,,1
False,500,250,0.0057083610737919,0.0056052852563505,0.3604390073942162,0.3604712683726272,0.8228162543713625,0.8144993741370188,0.3558536212730926,0.3558927203261205,0.8225310990869122,0.8144672074251705,32.3133847993911,3014.058823529412,93.27586206896552,0.0,81.0,,,,,,,,,,,,,,,,1
False,1000,50,0.0031416201647706,0.0031952655631568,0.3604390073942162,0.3604712683726272,0.8002658304621063,0.8078084472145871,0.3558536212730926,0.3558927203261205,0.7997981185085735,0.8076198577407584,3.001083778436523,1393.2272727272727,464.2413793103448,0.0,140.0,,,,,,,,,,,,,,,,1
False,1000,100,0.0036579110371259,0.0037327565070393,0.3604390073942162,0.3604712683726272,0.7993883318493283,0.8084020492173487,0.3558536212730926,0.3558927203261205,0.7988785328230836,0.8082022335605075,4.053967601724012,1700.9888888888888,419.5862068965517,0.0,120.0,,,,,,,,,,,,,,,,1
False,1000,250,0.0055320496296597,0.0054729569594484,0.3604390073942162,0.3604712683726272,0.8140670770263121,0.8092537390473978,0.3558536212730926,0.3558927203261205,0.8138208078204712,0.8092058439425515,12.37696218088375,2938.4615384615386,237.41379310344828,0.0,82.0,,,,,,,,,,,,,,,,1
True,50,25,0.0209684628406319,0.0178494127915366,0.3604390073942162,0.3604712683726272,0.821745189888119,0.7531583497864324,0.3558536212730926,0.3558927203261205,0.8212553465130185,0.7530605437892167,,,5.142857142857143,0.2758620689655172,22.0,,,,,,,,,,,,,,,,1
True,50,50,0.0206942445241388,0.0178362151185502,0.3604390073942162,0.3604712683726272,0.8157123869252707,0.7528680009807337,0.3558536212730926,0.3558927203261205,0.8154286114213884,0.7527755625566886,,,8.571428571428571,0.2758620689655172,22.0,,,,,,,,,,,,,,,,1
True,50,100,0.0365667436628684,0.0251065687653508,0.3604390073942162,0.3604712683726272,0.7992399313486379,0.6617500935568373,0.3558536212730926,0.3558927203261205,0.7994311051787492,0.6617709879407032,,,434.9166666666667,0.5862068965517242,12.0,,,,,,,,,,,,,,,,1
True,100,25,0.0207839887004456,0.0178241905720516,0.3604390073942162,0.3604712683726272,0.817686758804021,0.752603460957764,0.3558536212730926,0.3558927203261205,0.8173320124629478,0.7525155649214182,,,13.38095238095238,0.2758620689655172,22.0,,,,,,,,,,,,,,,,1
True,100,50,0.0219737205142338,0.018227760049602,0.3604390073942162,0.3604712683726272,0.8218871381931271,0.7432542294142697,0.3558536212730926,0.3558927203261205,0.8211883563674824,0.7431343818631021,,,28.7,0.3103448275862068,21.0,,,,,,,,,,,,,,,,1
